,,,,,,,,,,,
Estações,Bairros,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31 De Outubro,Paciência,-,  77 670,  237 688,  290 122,  218 804,  270 315,  50 609,-,-,  12 382
Aeroporto De Jacarepaguá,Barra Da Tijuca,-,-,  166 985,  411 964,  461 646,  423 813,  342 868,  326 832,  192 503,  203 561
Afrânio Costa (Teatro Nathália Timberg),Barra da Tijuca,-,-,-,-,  313 819,  746 815,  731 245,  754 717,  294 920,  265 021
Americas Park,Barra da Tijuca,  106 166,  310 917,  465 759,  754 993,  820 350,  747 359,  674 809,  642 978,  289 238,  270 495
Ana Gonzaga,Inhoaíba,   422,  4 494,  118 327,  149 450,  107 760,  88 334,  19 851,-,-,  11 883
André Rocha,Taquara,-,-,  369 134,  751 172,  623 974,  539 131,  567 584,  482 804,  83 224,-
Aracy Cabral,Taquara,-,-,  405 283, 1 054 211, 1 076 949,  895 858,  811 462,  745 332,  329 671,  326 982
Arroio Pavuna,Jacarepaguá,-,-,  188 916,  439 227,  382 991,  345 468,  243 645,  211 779,  41 253,-
Asa Branca,Jacarepaguá,-,-,-,-,  174 457,  536 144,  497 202,  408 009,  257 061,  352 723
Barra Shopping,Barra da Tijuca,-,-,-,-, 1 016 681, 2 352 044, 2 205 117, 1 987 188,  715 412,  475 509
Benvindo De Novaes,Recreio,  126 637,  332 792,  398 404,  620 206,  637 195,  526 040,  392 372,  388 289,  71 199,  46 549
Boiúna,Taquara,-,-,-,-,  181 430,  579 924,  689 391,  651 325,  315 179,  377 317
Bosque Da Barra,Barra da Tijuca,  139 464,  394 521,  488 337,  670 616,  737 826,  733 361,  530 142,  438 394,  105 794,  138 108
Bosque Marapendi,Barra da Tijuca,-,-,-,-, 1 042 337, 2 654 279, 2 475 925, 2 378 558, 1 051 628,  882 130
Cajueiros,Santa Cruz,  63 161,  352 279,  488 490,  495 548,  362 646,  350 444,  209 639,  289 781,  65 466,  17 551
Campinho,Cascadura,-,-,  342 072, 1 387 381, 1 669 078, 1 327 841, 1 154 179, 1 092 485,  631 287,  522 517
Candido Magalhães,Campo Grande,-,-,  52 670,  104 484,  80 887,  144 383,  15 743,-,-,  11 018
Capitão Menezes,Praça Seca,-,-,  230 256,  744 330,  722 285,  612 685,  544 455,  491 087,  310 808,  170 196
Cardoso De Moraes ( Viúva Garcia ),Ramos,-,-,  59 430,  395 720,  384 870,  296 521,  219 746,  200 411,  35 489,  22 995
Catedral Do Recreio,Recreio,-,-,-,-,  34 441,  114 284,  122 147,  129 891,  23 962,  19 707
Centro Metropolitano,Barra da Tijuca,-,-,  183 950,  565 745,  726 384,  724 784,  698 749,  812 989,  489 912,  533 096
Cesarão I,Santa Cruz,  1 444,  48 341,  153 608,  251 378,  121 080,  105 804,  2 324,-,-,  44 239
Cesarão Ii,Santa Cruz,  1 446,  92 153,  288 325,  107 002,  183 514,  66 973,-,-,-,  52 124
Cesarão Iii,Santa Cruz,  4 941,  268 441,  534 854,  516 278,  426 621,  72 254,-,-,-,  49 365
Cesarinho,Paciência,-,  30 244,  73 690,  177 927,  128 552,  136 209,  26 008,-,-,  9 222
Cetex.,Guaratiba,  5 683,  30 756,  29 464,  43 523,  135 988,  73 945,  35 007,  35 678,  17 205,  9 816
Colônia ( Museu Bispo Do Rosário ),Curicica,-,-,-,-,  74 453,  262 151,  342 311,  308 872,  178 376,  222 796
Cosmos,Cosmos,-,   711,  316 459,  319 632,  278 570,  291 948,  46 160,-,-,  40 404
Curicica,Curicica,-,-, 1 324 433, 3 090 515, 2 185 928, 2 182 925, 2 194 178, 2 040 783, 1 124 428, 1 044 662
Curral Falso,Santa Cruz,  444 741,  756 165,  550 040,  491 760,  396 570,  345 708,  396 426,  574 265,  434 543,  395 093
Divina Providência,Taquara,-,-,  102 496,  214 492,  181 295,  364 498,  239 550,  247 656,  59 469,   798
Dom Bosco,Recreio,-,   770,  168 615,  452 981,  185 968,  146 690,  89 856,  81 105,  15 756,  5 839
Embrapa,Guaratiba,  1 104,  10 457,  10 120,  12 105,  11 245,  38 965,  8 176,  7 377,  1 340,-
Galeão Tom Jobim 1,Galeão,-,-,  307 296, 1 098 786, 1 108 039,  664 151,  596 761,  562 371,  186 230,  34 415
Galeão Tom Jobim 2,Galeão,-,-,  221 421,  74 124,-,-,-,-,-,-
Gastão Rangel,Santa Cruz,  318 009,  544 848,  716 665,  584 723,  687 271,  663 001,  368 290,  348 123,  553 868,  419 254
Gelson Fonseca,Recreio,  33 379,  85 796,  182 482,  294 123,  327 302,  309 956,  214 943,  194 997,  34 086,  2 548
General Olímpio,Santa Cruz,  279 070,  571 515,  861 085,  926 076,  786 632,  807 014,  535 101,  570 116,  109 144,  295 399
Gilka Machado,Recreio,  126 256,  399 922,  664 622, 1 011 855,  921 463,  766 813,  658 542,  705 281,  547 213,  505 943
Gláucio Gil,Recreio,  452 224, 1 554 187, 2 291 320, 3 431 652, 3 630 875, 3 234 444, 3 143 152, 2 855 413, 1 757 645, 1 737 322
Golfe Olímpico,Barra da Tijuca,   23,   26,-,   8,  17 593,  66 071,  29 061,  23 058,  4 475,   29
Gramado,Campo Grande,-,-,  31 933,  37 171,  25 615,  121 332,  4 868,-,-,-
Guaporé,Vila da Penha,-,-,  124 007,  553 869,  530 642,  366 564,  283 122,  273 985,  53 315,  4 622
Guignard,Recreio,  80 666,  208 950,  267 094,  407 511,  396 160,  352 276,  325 601,  316 403,  63 006,  3 367
Guiomar Novaes,Recreio,  122 770,  257 691,  285 131,  449 385,  491 548,  430 864,  326 394,  310 329,  60 268,  42 560
Ibiapina,Penha,-,-,  19 604,  143 299,  138 732,  149 998,  57 408,  53 147,  9 433,  3 945
Icurana,Inhoaíba,-,   948,  301 975,  534 115,  322 502,  394 034,  76 179,-,-,  56 373
Ilha De Guaratiba,Guaratiba,  231 631,  628 062,  653 700,  746 147,  379 286,  601 335,  572 184,  522 258,  299 947,  316 928
Ilha Pura,Barra da Tijuca,-,-,-,-,  14 727,  74 843,  43 870,  42 717,  19 812,  48 183
Inhoaíba,Inhoaíba,-,-,  163 533,  186 858,  137 836,  102 299,  23 557,-,-,  22 153
Interlagos,Barra da Tijuca,  78 601,  231 254,  330 909,  532 688,  576 386,  463 616,  406 140,  383 094,  138 361,  177 882
Ipase,Praça Seca,-,-,  436 799, 1 593 837, 1 755 015, 1 368 174, 1 164 605, 1 054 381,  596 243,  367 228
Júlia Miguel,Paciência,-,   112,  69 175,  96 048,  69 222,  63 309,  10 738,-,   1,  6 487
Leila Diniz,Curicica,-,-,-,-,  121 957,  407 973,  457 147,  409 537,  179 223,  226 315
Lourenço Jorge,Barra da Tijuca,-,-,  523 503, 1 237 997, 1 176 792,  909 632,  788 668,  726 420,  402 923,  389 658
Madureira - Manacéia,Madureira,-,-, 1 066 860, 4 523 688, 4 181 987, 2 987 977, 3 045 788, 3 093 954, 1 450 933, 1 154 388
Madureira ( Terminal Paulo Da Portela ),Madureira,-,-, 2 961 147, 9 476 395, 9 401 511, 6 524 118, 6 361 585, 5 706 330, 3 486 460, 3 410 902
Magalhães Bastos,Magalhães Bastos,-,-,-,-,  349 246,  979 186, 1 075 230, 1 081 811,  681 621, 1 002 113
Magarça,Guaratiba, 1 126 260, 2 994 994, 3 114 136, 3 353 486, 3 308 336, 3 046 896, 2 581 699, 2 571 838, 1 396 644, 1 549 692
Marambaia,Irajá,-,-,  96 813,  451 687,  454 325,  319 038,  251 316,  222 398,  38 082,  2 748
