Bairro,Extrema Pobreza,Pobreza,Baixa Renda,Acima de 1/2 S.M.
AANCHIETA,0,0,1,0
AARI,1,0,2,0
ABOLICAO,662,16,81,161
ABOLICO,1,0,0,0
ABOLIOCAO,1,0,0,0
ABOOICAO,1,0,0,0
ACARAI,0,1,0,0
ACARI,4.517,1.013,954,469
ACARIA,1,0,0,0
ACARI RUA,1,0,0,0
ACARO,0,1,0,0
ACARU,1,0,0,0
ACHIETA,0,1,0,0
ACRAI,0,1,0,0
AGALHAES BASTOS,1,0,0,0
AGUA SA,1,0,0,0
AGUA SANTA,678,14,71,79
AJU,4,0,1,0
AL,1,0,0,1
ALAGADO,0,0,1,0
ALT,0,0,1,0
ALTO,1,3,0,1
ALTO BOA VISTA,4,0,2,2
ALTO DA BOA,0,0,1,0
ALTO DA BOAVISTA,1,0,0,0
ALTO DA BOA VISTA,327,108,168,141
ALTO SIMAO,0,0,1,0
AMARELINHO,1,0,0,0
AMARO AMAURI DOS SANTOS,0,0,1,0
AMDARAI,1,0,0,0
AMIL,1,0,0,0
AMORIM,0,1,0,0
AN,2,0,0,0
ANA,1,0,0,0
ANACHIETA,3,1,0,0
ANADARAI,1,1,0,0
ANARAI,1,0,0,0
ANC,0,1,0,0
ANCHEITA,4,2,0,2
ANCHETA,0,0,1,0
ANCHIEA,0,0,1,0
ANCHIET,1,0,0,0
ANCHIETA,4.372,755,998,769
ANCHIETE,1,0,0,0
ANCHIIETA,1,0,0,0
ANCHITA,1,1,0,0
ANCIETA,0,1,0,0
ANCIHETA,1,0,0,0
ANDA,1,0,0,0
ANDARA,1,0,0,0
ANDARAI,1.387,281,419,366
ANDARAII,2,0,0,0
ANDRAI,0,0,1,0
ANDREA FABRICIO DA SILVA,1,0,0,0
ANDREA MENDES CRUZ,1,0,0,0
ANGU,1,0,0,0
ANHIETA,1,0,0,0
ANI,1,0,0,0
ANIL,1.457,395,754,525
AN IL,0,0,0,1
ANILA,0,0,1,0
ANIL JACAREPAGUA,1,0,0,1
ANL,1,0,1,0
ANTA CRUZ,0,0,0,1
ANTARES,2,0,0,0
ANXIETA,1,0,0,0
ARARA,3,0,0,0
ARARA BENFICA,1,0,0,0
AREINHA,1,0,0,0
ASCARI,1,0,0,0
AUGUSTO VASCONCELOS,5,0,0,1
AV,1,0,0,0
AVENIDA,3,0,1,1
AVENIDCOSTA BARROS,1,0,0,0
AV ITAOCA,1,0,0,0
Localidade não preenchida,0,0,1,0
BA,1,0,0,0
BABGU,1,0,0,0
BAIRO,3,0,0,0
BAIRRO,275,1,0,3
BAIRRO CARIOCA,4,0,1,0
BAIRRO CURICICA,1,0,0,0
BAIRRO DE FATIMA,1,0,0,0
BAIRRO FILHOS,0,0,1,0
BAIRRO INHOAIBA,1,0,0,0
BAIRRO REALENGO,1,0,0,0
BAIXA,1,1,0,0
BAIXA DO SAPATEIRO,5,0,0,0
BAIXA SAPATEIRO,1,0,0,0
BAMGU,2,0,0,0
BANBGU,0,1,0,0
BANCARIOS,526,213,306,223
B ANCARIOS,1,0,0,0
BANCRARIOS,0,0,1,0
BANGIU,0,0,0,1
BANGO,0,0,2,0
BANGU,15.945,2.286,2.631,2.177
BA NGU,2,0,0,0
BANGU CANCELA PRETA,1,0,0,0
BANGU CATIRI,7,0,1,0
BANGUE,1,0,0,0
BANGUI,1,0,0,0
BANGU II,1,0,0,0
BANGUJ,0,0,0,1
BANGUU,0,1,0,0
BANGU VILA KENNEDY,1,0,0,0
BANNGU,1,0,0,0
BANRUA,1,0,0,0
BANU,1,0,0,1
BANUGU,1,0,0,0
BAQNGU,0,0,0,1
BARA DA TIJUCA,1,0,0,0
BARR,0,0,0,1
BARRA,1,0,0,0
BARRA DA TIJIUCA,0,0,1,0
B ARRA DA TIJUCA,0,0,0,1
BARRA DA TIJUCA,267,44,95,102
BARRA DE GUARATBA,1,0,0,0
BARRA DE GUARATIBA,338,50,55,75
BARRA DE GUARRTIBA,0,0,1,0
BARRA DE GUARTIBA,1,1,0,0
BARRA DE GURATIBA,1,0,0,0
BARRA DE TIJUCA,3,0,0,0
BARRA GUARATIBA,2,1,1,0
BARR DA TIJUCA,1,0,0,0
BARREIRA DO VASCO,19,0,0,0
BARRO FILHO,1,0,0,0
BARRO FILHOS,0,1,0,0
BARROS FIHO,2,1,0,0
BARROS FILGO,0,0,0,1
BARROS FILHO,1.518,295,307,176
BARROS FILHOA,1,0,0,0
BARROS FILHOS,11,5,0,0
BARRROS FILHO,0,1,0,0
BATAM,1,1,0,0
BATAN,6,0,0,0
BEBTO RIBEIRO,1,0,0,0
BECO,1,0,0,0
BECO COQUERAL,1,0,0,0
BECO DA GLORIA,1,0,0,0
BEENFICA,1,0,0,0
BEIRA RIO,2,0,0,0
BEMFICA,1,1,0,0
BEN,1,1,0,0
BENFIC,1,0,0,0
BENFICA,3.281,435,524,499
BENTO RBEIRO,1,0,0,0
BENTO REBEIRO,4,0,0,1
BENTO RIBEIRO,1.813,187,347,377
BENTO RIBERO,4,1,1,0
BNACARIOS,0,0,1,0
BNAGU,2,0,1,0
BO,1,0,0,0
BOATFOGO,1,1,0,3
BOIUNA,2,0,0,0
BOMSUCESSO,1,0,0,1
BONCESSO,0,0,0,1
BONSICESSO,1,0,0,0
BONSSUCESSO,0,0,0,1
BONSU,2,0,0,0
BONSUCESO,1,1,0,0
BONSUCESS0,3,0,0,0
BONSUCESSO,1.222,145,270,304
BONSUCESSO MARE,0,0,0,1
BONSUCESSO MARE BAIXA,0,0,2,0
BONSUCESSO MARE NOVA HOLANDA,0,2,0,0
BONSUCESSO MARE PARQUE UNIAO,0,0,1,0
BONSUCESSO MARE PINHEIRO,1,0,3,0
BONSUCESSO MARE TIMBAU,0,0,1,0
BONSUCESSO MARE VILA DO JOAO,0,1,0,0
BONSUCSSO,2,0,0,0
BORDA DO MATO,1,0,0,0
BOSUCESSO,3,1,0,0
BOTAFOFO,3,0,0,1
BOTAFOGO,1.199,113,367,544
BOTAFOGO1,0,0,0,1
BOTAFOGOL,1,0,0,0
BOTAFOGOQ,0,0,1,0
BOTFOGO,0,1,0,0
BOTOFAGO,1,0,2,0
BRAS,0,1,0,0
BRAS DE,1,0,0,0
BRAS DE OLIVEIRA,1,0,0,0
BRAS DE P,0,0,0,1
BRAS DE PINA,3.47,283,642,634
BRASDE PINA,1,0,0,0
BRAS DE PINARUA,3,0,0,0
BRAS DE PNA,1,0,0,0
BRAS DE PONA,1,0,0,0
BRAS DRE PINA,1,0,0,0
BRAS E PINA,0,0,0,1
BRAS PINA,1,0,1,0
BRAZ DE PINA,57,4,12,20
BRS DE PINA,1,0,0,0
BRUNO BERTO FARIA,0,1,0,0
BSNGU,0,1,0,0
BUNGU,0,0,1,0
Localidade não preenchida,2,0,1,0
CA,0,0,1,0
CA 02,1,0,0,0
CAACHAMBI,0,1,0,0
CACADURA,0,0,0,1
CACAMBI,1,0,0,0
CACHAMB,0,0,1,0
CACHAMBI,1.218,73,242,313
CACHAMI,1,0,0,0
CACUIA,384,133,193,166
CAFUNDA,1,0,0,0
CAHAMBI,2,0,0,0
CAJ,0,0,0,1
CAJU,4.948,286,632,655
CAJU7,1,0,0,0
CAJU PARQUE ALEGRIA,1,0,0,0
CAJUU,0,0,1,0
CAKI,1,0,0,0
CALVALCANTI,0,0,1,0
CAM,1,0,0,0
CAMAPO GRANDE,1,0,0,0
CAMILA PAMELA FRANCISCO DE SOUZA,1,0,0,0
CAMMPO GRANDE,1,0,0,0
CAMO,1,0,0,0
